Wall time,Step,Value
1702175755.1683605,6490430,53.0
1702175755.6496017,6491260,50.0
1702175764.6232271,6508880,51.0
1702175768.6834588,6517170,54.0
1702175770.6814063,6521560,53.0
1702175772.321719,6524770,50.0
1702175776.6277628,6534000,45.0
1702175777.9385955,6536730,54.0
1702175779.018617,6538530,54.0
1702175781.1057098,6542750,54.0
1702175783.778084,6548040,52.0
1702175784.8693027,6550140,53.0
1702175787.020476,6554470,52.0
1702175789.9525151,6560110,53.0
1702175791.952527,6564190,54.0
1702175793.1049166,6566460,49.0
1702175797.766143,6576070,55.0
1702175799.4594784,6579260,53.0
1702175799.506967,6579380,53.0
1702175800.726755,6581860,54.0
1702175802.1829698,6584880,54.0
1702175804.7601385,6590100,53.0
1702175809.095628,6598750,55.0
1702175809.2203577,6599100,53.0
1702175811.4146676,6603470,55.0
1702175811.6302147,6603580,54.0
1702175812.7337239,6605980,54.0
1702175813.6963189,6607470,52.0
1702175814.8114533,6609920,51.0
1702175815.8456297,6611740,53.0
1702175818.3410394,6616410,55.0
1702175820.0690284,6620160,54.0
1702175823.5348408,6626640,51.0
1702175826.2304442,6631910,53.0
1702175826.8139954,6633020,50.0
1702175826.8816373,6633210,50.0
1702175831.559762,6643470,52.0
1702175832.772775,6645960,51.0
1702175833.7620215,6648240,54.0
1702175834.638329,6649830,53.0
1702175834.750569,6650170,54.0
1702175834.8361406,6650410,54.0
1702175836.046008,6652810,54.0
1702175836.7922204,6654490,54.0
1702175843.7792416,6668680,55.0
1702175845.046585,6671240,53.0
1702175846.7636967,6674380,53.0
1702175847.6656725,6676430,51.0
1702175849.5024986,6680120,54.0
1702175850.4823027,6681900,52.0
1702175852.5819588,6686090,51.0
1702175853.7843778,6688430,55.0
1702175855.047389,6691070,54.0
1702175855.252852,6691670,54.0
1702175857.4609594,6695880,55.0
1702175857.8209016,6696920,52.0
1702175858.432792,6698160,55.0
1702175862.957292,6707210,54.0
1702175865.043718,6712000,51.0
1702175866.7304008,6715660,53.0
1702175867.2553205,6716740,53.0
1702175867.697668,6717520,50.0
1702175869.5423093,6721540,53.0
1702175869.662854,6721920,47.0
1702175870.0583742,6722610,54.0
1702175873.8659565,6731340,51.0
1702175876.830438,6737410,50.0
1702175878.0154214,6739800,53.0
